,地点,时间,地点经纬度,longtitude,latitude,存栏,发病,死亡
52,广东省广州市黄埔区,2018.12.23,"23°19'05.2""N 113°31'46.2""E",113.5295,23.31811111,6027,30,9
53,贵州省黔南州龙里县,2018.12.21,"26°29'56.6""N 106°58'50.8""E",106.9807778,26.49905556,156,42,42
54,福建省三明市尤溪县,2018.12.20,"26°08'48.5""N 118°08'06.6""E",118.1351667,26.14680556,11950,27,27
55,广东省珠海市香洲区,2018.12.19,"22°12'57.3""N 113°32'18.4""E",113.5384444,22.21591667,50,11,11
56,重庆市璧山区,2018.12.18,"29°48'03.3""N 106°17'39.2""E",106.2942222,29.80091667,23,8,3
57,四川省绵阳市盐亭县,2018.12.16,"31°12'26.2""N 105°23'42.4""E",105.3951111,31.20727778,210,35,26
58,黑龙江省鸡西市鸡冠区,2018.12.16,"45°17'26.4""N 130°59'26.5""E",130.9906944,45.29066667,84,24,24
59,四川省巴中市巴州区,2018.12.12,"31°51'04.9""N 106°47'14.9""E",106.7874722,31.85136111,117,51,19
60,青海省西宁市大通县,2018.12.12,"36°55'25.6""N 101°40'35.5""E",101.6765278,36.92377778,69,14,14
61,陕西省榆林市神木市,2018.12.10,"38°50'17.0""N 110°33'04.6""E",110.5512778,38.83805556,33,19,19
62,贵州省贵阳市白云区,2018.12.10,"26°44'01.4""N 106°41'51.2""E",106.6975556,26.73372222,26,5,5
63,山西省临汾市尧都区,2018.12.06,"35°59'17.4""N 111°39'47.3""E",111.6631389,35.98816667,91,45,35
64,四川省泸州市合江县,2018.12.05,"28°47'36.1""N 105°54'44.8""E",105.9124444,28.79336111,165,68,68
65,陕西省西安市长安区,2018.12.05,"34°05'10.0""N 108°55'48.2""E",108.9300556,34.08611111,245,85,64
66,北京市顺义区,2018.12.05,"40°14'27.8""N 116°47'21.6""E",116.7893333,40.24105556,2461,53,26
67,陕西省西安市鄠邑区,2018.12.02,"33°58'27.9""N 108°36'26.5""E",108.6073611,33.97441667,245,205,79
68,北京市通州区一规模养殖场,2018.12.02,"39°49'44.1""N 116°52'52.6""E",116.8812778,39.82891667,9835,85,17
69,江西省九江市柴桑区,2018.11.30,"29°34'42.4""N 115°46'39.5""E",115.7776389,29.57844444,159,16,4
70,天津市宁河区,2018.11.29,"39°20'35.6""N 117°46'35.2""E",117.7764444,39.34322222,361,-,67
71,湖北省黄石市阳新县,2018.11.26,"29°48'02.3""N 115°14'30.4""E",115.2417778,29.80063889,63,9,5
72,内蒙古自治区包头市昆都仑区,2018.11.23,"40°39'16.8""N 109°43'41.6""E",109.7282222,40.65466667,88,69,53
73,北京市房山区青龙湖镇,2018.11.23,"39°46'54.4""N 116°02'30.4""E",116.0417778,39.78177778,1325,-,49
74,北京市房山区琉璃河镇,2018.11.23,"39°36'55.8""N 116°00'52.7""E",116.0146389,39.6155,429,-,37
75,湖南省怀化市鹤城区,2018.11.20,"27°36'43.1""N 110°03'23.7""E",110.0565833,27.61197222,73,61,55
76,黑龙江省哈尔滨市道外区,2018.11.19,"45°47'07.1""N 126°51'48.8""E",126.8635556,45.78530556,900,268,268
77,上海市金山区,2018.11.17,"30°45'43.6""N 121°19'12.6""E",121.3201667,30.76211111,314,50,11
78,江西省上饶市鄱阳县,2018.11.17,"29°03'39.1""N 116°40'26.3""E",116.6739722,29.06086111,150,10,10
79,云南省昆明市呈贡区屠宰场,2018.11.17,"24°54'51.4""N 102°47'54.3""E",102.7984167,24.91427778,348,-,-
